Source,Target,Weight
0,20,0.5965951048183238
0,34,0.5102844347624189
1,10,0.7440193929231366
1,67,0.735010119106022
1,68,0.6477987476465037
3,35,0.5955109069816168
3,78,0.5329425616210213
4,47,0.5197059853050504
4,55,0.8230667815647593
7,57,0.604804646486704
9,33,0.5119349345180141
9,96,0.745514229248355
10,76,0.6565688824507437
10,81,0.5184012534476585
12,28,0.7121897550445493
13,74,0.8169398458281687
14,64,0.7672519213275126
14,75,0.5435976426822885
16,95,0.5506147800922823
20,86,0.513099885304061
21,46,0.5206396692332055
22,84,0.5240384614021956
24,67,0.7523555854759301
24,78,0.6205570691819505
28,98,0.5283408474926571
29,49,0.6663830467965729
30,80,0.8087727201577056
31,53,0.5476833415482782
32,90,0.5362890315731017
33,55,0.5324577772248869
33,65,0.575470674741798
41,99,0.7601294638810269
48,63,0.6533695971606348
50,96,0.6114648941603593
51,94,0.5000335721652068
53,55,0.7513915009280311
55,91,0.5253251924025467
64,70,0.526143053493144
74,75,0.6841948171213424
94,99,0.5219972136166743
