Source,Target,Weight
2,92,0.5219381959692678
4,32,0.5010882899570391
6,85,0.5157233582301143
8,21,0.5980858582018236
15,99,0.6586144268921307
18,74,0.5654579889203557
19,79,0.5593861585551888
21,33,0.528492979144073
22,94,0.6711007397060078
24,48,0.7754692749287427
24,70,0.51886552435391
25,28,0.759280617705766
26,28,0.581751696295553
27,73,0.8073788375591919
28,53,0.7251121640640763
29,84,0.5889934298301538
37,47,0.5845905265423825
39,53,0.6248256793185663
43,75,0.754499303360016
45,72,0.5579008668812674
50,61,0.7019079854619972
65,96,0.6924639758619274
86,93,0.6183852148054239
